Tree_ID,Date_Modif,Species_ID,Name_Botan,Name_Commo,Height_Gro,Height_Min,Height_Max,DBH_Group,DBH_Min,DBH_Max,District,Address,Street,On_Address,On_Street,Tree_Numbe,Location_D,Census_Tra,california,long_NAD83,lat_nad83
10934888,11/12/2020 16:45,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,14,2824,ARIZONA AV,2824,ARIZONA AV,1,Front,10,364,363985.4013,3767187.15
10934884,11/12/2020 16:45,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,4,19,24,14,2808,ARIZONA AV,2808,ARIZONA AV,1,Front,10,364,363947.6467,3767150.862
10934889,11/12/2020 16:45,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,14,2828,ARIZONA AV,2828,ARIZONA AV,1,Front,10,364,363994.8799,3767196.419
10934885,11/12/2020 16:45,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,14,2812,ARIZONA AV,2812,ARIZONA AV,1,Front,10,364,363958.165,3767161.663
10934883,11/12/2020 16:45,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,14,2802,ARIZONA AV,2802,ARIZONA AV,1,Front,10,364,363934.3998,3767141.865
10934864,11/10/2020 14:49,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,4,19,24,14,2705,ARIZONA AV,2705,ARIZONA AV,1,Front,10,364,363849.4666,3767080.899
10934859,11/10/2020 14:49,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,14,2727,ARIZONA AV,2727,ARIZONA AV,1,Front,10,364,363903.07,3767129.138
10932459,11/10/2020 9:05,230,Tipuana tipu,Tipu,2,15,30,3,13,18,5,938,YALE ST,938,YALE ST,1,Front,9,365,363519.6618,3767747.499
10927839,11/9/2020 12:19,238,Vacant site,Vacant Site,0,0,0,0,0,0,3,1401,MONTANA AV,635,14TH ST,3,Side,2,366,361960.614,3766755.759
10920848,11/9/2020 12:19,238,Vacant site,Vacant Site,0,0,0,0,0,0,6,2003,IDAHO AV,2003,IDAHO AV,1,Front,3,365,362665.3516,3767119.002
10941591,11/9/2020 12:19,238,Vacant site,Vacant Site,0,0,0,0,0,0,10,520,ARIZONA AV,520,ARIZONA AV,3,Front,15,368,361969.3954,3765280.656
10945522,11/6/2020 14:45,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,19,2502,5TH ST,2502,5TH ST,1,Front,16,363,363173.489,3763753.343
10945512,11/6/2020 14:44,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,19,2402,5TH ST,2402,5TH ST,1,Front,16,363,363098.8388,3763843.307
10945515,11/6/2020 14:44,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,19,2418,5TH ST,2418,5TH ST,1,Front,16,363,363128.8922,3763806.628
10945521,11/6/2020 14:44,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,19,2438,5TH ST,2438,5TH ST,1,Front,16,363,363164.9066,3763763.945
10945513,11/6/2020 14:44,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,19,2408,5TH ST,2408,5TH ST,1,Front,16,363,363107.5368,3763831.03
10934867,11/6/2020 14:25,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,14,1258,PRINCETON ST,2635,ARIZONA AV,1,Side,10,364,363803.8759,3767037.336
10934865,11/6/2020 14:25,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,14,1258,PRINCETON ST,2635,ARIZONA AV,3,Side,10,364,363826.327,3767057.428
10934870,11/6/2020 14:24,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,14,1307,26TH ST,2600,ARIZONA AV,1,Side,10,364,363772.9481,3766987.584
10934872,11/6/2020 14:24,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,14,2608,ARIZONA AV,2608,ARIZONA AV,1,Front,10,364,363790.2435,3767002.433
10934868,11/6/2020 14:24,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,14,2601,ARIZONA AV,2601,ARIZONA AV,2,Front,10,364,363780.353,3767013.608
10934871,11/6/2020 14:24,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,14,1307,26TH ST,2600,ARIZONA AV,2,Side,10,364,363784.5969,3766997.827
10934875,11/6/2020 14:24,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,5,25,30,14,2624,ARIZONA AV,2624,ARIZONA AV,1,Front,10,364,363821.9504,3767030.157
10934873,11/6/2020 14:24,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,14,2618,ARIZONA AV,2618,ARIZONA AV,1,Front,10,364,363800.5715,3767009.522
10934874,11/6/2020 14:24,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,2,15,30,6,31,0,14,2620,ARIZONA AV,2620,ARIZONA AV,1,Front,10,364,363809.0598,3767019.848
