OBJECTID,id,created,updated,source,species,family,genus,native_ran,max_height,tree_shape,foliage_ty,density_in,longevity,dbh_lo,dbh_hi,height_lo,height_hi,stems,trunks,canopy,zip,place,county,cz,lat_NAD83,long_NAD83
"4398736","2580383",,,WCA,Arbutus 'Marina',Ericaceae,Arbutus,,0.00000000000,,,,,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,90813.00000000000,Long Beach,Los Angeles,Southern California Coast,3739076.8399999999,388954.0134000000
"4400395","2564726",,,WCA,Lophostemon confertus,Myrtaceae,Lophostemon,Australia,50.00000000000,Oval or Rounded,Evergreen,Moderately Dense,Average,13.00000000000,18.00000000000,15.00000000000,30.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3747543.8199999998,393612.2152000000
"4400834","2516708",,,WCA,Koelreuteria bipinnata,Sapindaceae,Koelreuteria,Asia,40.00000000000,"Rounded, Umbrella or Vase",Deciduous,Moderate,Average,31.00000000000,0.00000000000,30.00000000000,45.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3742108.6760000000,397373.8072000000
"5667955","2587236",,,WCA,Pyrus calleryana,Rosaceae,Pyrus,Asia,40.00000000000,Conical or Oval,Deciduous,Moderately Dense,Average,0.00000000000,6.00000000000,1.00000000000,15.00000000000,,,,90803.00000000000,Long Beach,Los Angeles,Southern California Coast,3736014.9260000000,395079.7274000000
"3368629","2564602",,,WCA,Lagerstroemia,Lythraceae,Lagerstroemia,,0.00000000000,,,,,7.00000000000,12.00000000000,1.00000000000,15.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3748117.9040000001,393478.4080000000
"4216364","2436337",,,WCA,Ficus microcarpa,Moraceae,Ficus,Asia,25.00000000000,Oval or Rounded,Evergreen,Dense,Average,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,90755.00000000000,Signal Hill,Los Angeles,Southern California Coast,3741425.1630000002,392542.6034000000
"5004743","2564530",,,WCA,Magnolia grandiflora,Magnoliaceae,Magnolia,North America,50.00000000000,Oval,Evergreen,Dense to Very Dense,,25.00000000000,30.00000000000,30.00000000000,45.00000000000,,,,90805.00000000000,Long Beach,Los Angeles,Southern California Coast,3748102.8799999999,393009.2368000000
"1481306","2531142",,,WCA,Pinus canariensis,Pinaceae,Pinus,Europe and North Africa,66.00000000000,Columnar or Conical,Evergreen,Moderate to Dense,Average,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,90808.00000000000,Long Beach,Los Angeles,Southern California Coast,3745516.6000000001,395390.8908000000
"1557817","2541985",,,WCA,Liquidambar styraciflua,Altingiaceae,Liquidambar,North America,66.00000000000,Conical,Deciduous,Moderate,Very Long,13.00000000000,18.00000000000,45.00000000000,60.00000000000,,,,90814.00000000000,Long Beach,Los Angeles,Southern California Coast,3737567.3990000002,393398.5584000000
"5095368","2580777",,,WCA,Cupaniopsis anacardioides,Sapindaceae,Cupaniopsis,Australia,40.00000000000,Oval,Evergreen,Moderate,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,90810.00000000000,Long Beach,Los Angeles,Southern California Coast,3739760.9879999999,387493.6163000000
"5505180","2563370",,,WCA,Schinus terebinthifolia,Anacardiaceae,Schinus,South America,30.00000000000,Umbrella,Evergreen,Moderately Dense,Average,19.00000000000,24.00000000000,15.00000000000,30.00000000000,,,,90815.00000000000,Long Beach,Los Angeles,Southern California Coast,3738594.4270000001,395449.9919000000
"1556642","2582913",,,WCA,Phoenix canariensis,Arecaceae,Phoenix,Europe and North Africa,60.00000000000,Feather Palm,Evergreen,Moderately Low,Average,25.00000000000,30.00000000000,45.00000000000,60.00000000000,,,,90803.00000000000,Long Beach,Los Angeles,Southern California Coast,3736722.2149999999,392581.4072000000
"905898","5519562",,,WCA,Ficus microcarpa,Moraceae,Ficus,Asia,25.00000000000,Oval or Rounded,Evergreen,Dense,Average,19.00000000000,24.00000000000,15.00000000000,30.00000000000,,,,90802.00000000000,Long Beach,Los Angeles,Southern California Coast,3736643.6480000000,391958.7596000000
"3779942","2547449",,,WCA,Magnolia grandiflora,Magnoliaceae,Magnolia,North America,50.00000000000,Oval,Evergreen,Dense to Very Dense,,19.00000000000,24.00000000000,30.00000000000,45.00000000000,,,,90806.00000000000,Long Beach,Los Angeles,Southern California Coast,3741973.5480000000,389123.6103000000
