id,created,updated,source,species,family,genus,native_ran,max_height,tree_shape,foliage_ty,density_in,longevity,dbh_lo,dbh_hi,height_lo,height_hi,stems,trunks,canopy,zip,place,county,cz,POINT_X,POINT_Y
"5701596",,,WCA,Magnolia grandiflora,Magnoliaceae,Magnolia,North America,50.00000000000,Oval,Evergreen,Dense to Very Dense,,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,462504.38912200002,3755262.16864999989
"5788659",,,WCA,Fraxinus angustifolia,Oleaceae,Fraxinus,Europe and Asia,50.00000000000,Oval or Rounded,Deciduous,Moderately Dense,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,92508.00000000000,Riverside,Riverside,Inland Empire,470907.77825199999,3749037.71432999987
"5712560",,,WCA,Jacaranda mimosifolia,Bignoniaceae,Jacaranda,South America,50.00000000000,"Oval, Rounded or Umbrella",Deciduous to Partly Deciduous,Moderately Low,Moderately Short,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92501.00000000000,Riverside,Riverside,Inland Empire,465424.29119700001,3763139.37199999997
"5244354",,,WCA,Syagrus romanzoffiana,Arecaceae,Syagrus,South America,50.00000000000,Feather Palm,Evergreen,Low to Moderately Low,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,92503.00000000000,Riverside,Riverside,Inland Empire,459435.48939700000,3754025.61158999987
"4196479",,,WCA,Brachychiton populneus,Malvaceae,Brachychiton,Australia,50.00000000000,Conical,Evergreen,Moderate to Dense,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,462035.90273500001,3756939.10404000012
"4196478",,,WCA,Brachychiton populneus,Malvaceae,Brachychiton,Australia,50.00000000000,Conical,Evergreen,Moderate to Dense,Average,13.00000000000,18.00000000000,30.00000000000,45.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,462025.79367899999,3756939.05317000020
"5789025",,,WCA,Robinia pseudoacacia,Fabaceae,Robinia,North America,50.00000000000,Oval,Deciduous,Low to Moderately Low,,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,467903.44267100003,3748792.80315000005
"5245637",,,WCA,Albizia julibrissin,Fabaceae,Albizia,Asia,25.00000000000,"Rounded, Umbrella or Vase",Deciduous,Low to Moderately Low,,31.00000000000,0.00000000000,60.00000000000,0.00000000000,,,,92506.00000000000,Riverside,Riverside,Inland Empire,464341.84757300001,3755561.59025999997
"5788992",,,WCA,Robinia pseudoacacia,Fabaceae,Robinia,North America,50.00000000000,Oval,Deciduous,Low to Moderately Low,,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,467885.65304900002,3748733.64447999978
"5788988",,,WCA,Prunus caroliniana,Rosaceae,Prunus,North America,35.00000000000,Oval or Rounded,Evergreen,Dense to Very Dense,,7.00000000000,12.00000000000,15.00000000000,30.00000000000,,,,92504.00000000000,Riverside,Riverside,Inland Empire,467833.66363000002,3748696.36352000013
